sample	type
OV40190	read
OV40191	read
OV40193	read
OV40197	read
OV40199	read
OV40200	read
OV40201	read
OV40202	read
OV40203	read
OV40204	read
OV40208	read
OV40209	read
OV40211	read
OV323T	read
OV914T	read
GL4226	read
GL5113	read
JB5704	read
JB5727	read
JB5768	read
JB4234	read
JB4442	read
JB4547	read
JB4674	read
JB4675	read
JB4684	read
JB4733	read
JB4744	read
JB4752	read
JB4757	read
JB4833	read
JB4838	read
JB4841	read
JB4853	read
JB4860	read
JB4877	read
JB4886	read
JB4887	read
JB4900	read
JB4904	read
JB4912	read
JB4952	read
JB4960	read
JB4962	read
JB4976	read
JB4998	read
JB5019	read
JB5051	read
JB5087	read
JB5214	read
JB5223	read
JB5234	read
JB5268	read
JB5276	read
JB5287	read
JB5293	read
JB5318	read
JB5426	read
JB5439	read
JB5464	read
JB5471	read
JB5506	read
JB5516	read
JB5522	read
JB5537	read
JB5548	read
JB5564	read
JB5567	read
JB5585	read
JB5615	read
JB5617	read
JB5841	read
JB5860	read
JB5860	read
JB5893	read
JB5962	read
JB5982	read
JH1034	read
JH1066	read
JH1069	read
JH1072	read
JH1075	read
JH1085	read
JH993	read
RG952	read
