Sample	Group
40190	Cluster1
40191	Cluster1
40193	Cluster1
40197	Cluster1
40199	Cluster1
40203	Cluster1
40204	Cluster1
40208	Cluster1
40209	Cluster1
GL5113	Cluster1
JB4234	Cluster1
JB4442	Cluster1
JB4675	Cluster1
JB4838	Cluster1
JB4860	Cluster1
JB4886	Cluster1
JB4887	Cluster1
JB4904	Cluster1
JB4976	Cluster1
JB5019	Cluster1
JB5214	Cluster1
JB5223	Cluster1
JB5506	Cluster1
JB5548	Cluster1
JB5585	Cluster1
JB5615	Cluster1
JB5860	Cluster1
JB5893	Cluster1
JB5962	Cluster1
JB5982	Cluster1
JH993	Cluster1
40200	Cluster2
40202	Cluster2
40211	Cluster2
323T	Cluster2
914T	Cluster2
GL4226	Cluster2
JB4674	Cluster2
JB4684	Cluster2
JB4733	Cluster2
JB4744	Cluster2
JB4752	Cluster2
JB4757	Cluster2
JB4833	Cluster2
JB4841	Cluster2
JB4853	Cluster2
JB4900	Cluster2
JB4912	Cluster2
JB4952	Cluster2
JB4960	Cluster2
JB4962	Cluster2
JB4998	Cluster2
JB5051	Cluster2
JB5087	Cluster2
JB5234	Cluster2
JB5268	Cluster2
JB5276	Cluster2
JB5287	Cluster2
JB5293	Cluster2
JB5318	Cluster2
JB5439	Cluster2
JB5464	Cluster2
JB5471	Cluster2
JB5516	Cluster2
JB5537	Cluster2
JB5567	Cluster2
JB5617	Cluster2
JB5841	Cluster2
JH1066	Cluster2
JH1069	Cluster2
JH1072	Cluster2
JH1075	Cluster2
JH1085	Cluster2
