Genes	ENTREZ_ID	Genes
LRRC53	105378803	LRRC53
UPK3B	105375355	UPK3B
TBC1D3I	102724862	TBC1D3I
POTEB3	102724631	POTEB3
PRR33	102724536	PRR33
GAGE10	102724473	GAGE10
TBC1D3E	102723859	TBC1D3E
CT45A8	102723737	CT45A8
CT45A9	102723680	CT45A9
CT45A10	102723631	CT45A10
C11orf98	102288414	C11orf98
C21orf140	101928147	C21orf140
CCDC182	101927581	CCDC182
STAG3L5P-PVRIG2P-PILRB	101752399	STAG3L5P-PVRIG2P-PILRB
GVQW1	101362076	GVQW1
USP17L23	101241878	USP17L23
TBC1D3D	101060389	TBC1D3D
TBC1D3K	101060351	TBC1D3K
TBC1D3G	101060321	TBC1D3G
NBPF19	101060226	NBPF19
CT45A7	101060211	CT45A7
ZNF891	101060200	ZNF891
NPIPA8	101059953	NPIPA8
NPIPA7	101059938	NPIPA7
GOLGA8R	101059918	GOLGA8R
PYURF	100996939	PYURF
C7orf55-LUC7L2	100996928	C7orf55-LUC7L2
TCP11X2	100996648	TCP11X2
POTEB	100996331	POTEB
PTGES3L-AARSD1	100885850	PTGES3L-AARSD1
PTGES3L	100885848	PTGES3L
FSBP	100861412	FSBP
MYZAP	100820829	MYZAP
KIAA2012	100652824	KIAA2012
TIMM23B	100652748	TIMM23B
FAM47E-STBD1	100631383	FAM47E-STBD1
ISY1-RAB43	100534599	ISY1-RAB43
STX16-NPEPL1	100534593	STX16-NPEPL1
URGCP-MRPS24	100534592	URGCP-MRPS24
HOXA10-HOXA9	100534589	HOXA10-HOXA9
APOC4-APOC2	100533990	APOC4-APOC2
SENP3-EIF4A1	100533955	SENP3-EIF4A1
RBAK-RBAKDN	100533952	RBAK-RBAKDN
TVP23C-CDRT4	100533496	TVP23C-CDRT4
BIVM-ERCC5	100533467	BIVM-ERCC5
PRH1-PRR4	100533464	PRH1-PRR4
FXYD6-FXYD2	100533181	FXYD6-FXYD2
UBE2F-SCLY	100533179	UBE2F-SCLY
PRORY	100533178	PRORY
KRTAP29-1	100533177	KRTAP29-1
RTEL1-TNFRSF6B	100533107	RTEL1-TNFRSF6B
ZHX1-C8orf76	100533106	ZHX1-C8orf76
C8orf44-SGK3	100533105	C8orf44-SGK3
PPT2-EGFL8	100532746	PPT2-EGFL8
ATP6V1G2-DDX39B	100532737	ATP6V1G2-DDX39B
MINOS1-NBL1	100532736	MINOS1-NBL1
MSH5-SAPCD1	100532732	MSH5-SAPCD1
COMMD3-BMI1	100532731	COMMD3-BMI1
NDUFC2-KCTD14	100532726	NDUFC2-KCTD14
RAB4B-EGLN2	100529264	RAB4B-EGLN2
CHURC1-FNTB	100529261	CHURC1-FNTB
SYNJ2BP-COX16	100529257	SYNJ2BP-COX16
CKLF-CMTM1	100529251	CKLF-CMTM1
RPS10-NUDT3	100529239	RPS10-NUDT3
ZNF559-ZNF177	100529215	ZNF559-ZNF177
TMEM256-PLSCR3	100529211	TMEM256-PLSCR3
RNASEK-C17orf49	100529209	RNASEK-C17orf49
RAD51L3-RFFL	100529207	RAD51L3-RFFL
CORO7-PAM16	100529144	CORO7-PAM16
RPL36A-HNRNPH2	100529097	RPL36A-HNRNPH2
BCL2L2-PABPN1	100529063	BCL2L2-PABPN1
NEDD8-MDP1	100528064	NEDD8-MDP1
KLRC4-KLRK1	100528032	KLRC4-KLRK1
POC1B-GALNT4	100528030	POC1B-GALNT4
ST20-MTHFS	100528021	ST20-MTHFS
FAM187A	100528020	FAM187A
HSPB2-C11orf52	100528019	HSPB2-C11orf52
SAA2-SAA4	100528017	SAA2-SAA4
LHX4-AS1	100527964	LHX4-AS1
PMF1-BGLAP	100527963	PMF1-BGLAP
MROH7-TTC4	100527960	MROH7-TTC4
RPL17-C18orf32	100526842	RPL17-C18orf32
